numberOfPossibleMove,foodUp,foodDown,foodLeft,foodRight,ghostUp,ghostDown,ghostLeft,ghostRight,wallUp,wallDown,wallLeft,wallRight,labelNextAction 
3,0,0,1.0,0.3333333333333333,0,0,22.0,20.0,True,True,False,False,2
4,1.0,0,0.5,0.3333333333333333,22.0,0,24.0,22.0,False,True,False,False,2
3,0,0,1.0,1.0,0,0,24.0,22.0,True,True,False,False,2
4,1.0,0,0.5,0.5,22.0,0,24.0,22.0,False,True,False,False,0
3,1.0,0.5,0,0,20.0,22.0,0,0,False,False,True,True,0
4,1.0,0.5,0.5,0,18.0,20.0,20.0,0,False,False,False,True,0
4,1.0,0.5,0,1.0,16.0,18.0,0,16.0,False,False,True,False,3
4,1.0,0,1.0,1.0,14.0,0,16.0,14.0,False,True,False,False,0
4,0,1.0,0.5,1.0,0,14.0,14.0,12.0,True,False,False,False,3
3,0,1.0,0.5,0,0,14.0,14.0,0,True,False,False,True,1
4,0.5,1.0,0.5,0,14.0,16.0,16.0,0,False,False,False,True,1
4,0.5,0.3333333333333333,0,1.0,14.0,16.0,0,14.0,False,False,True,False,3
3,0,0,1.0,1.0,0,0,14.0,12.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,12.0,10.0,True,True,False,False,3
4,0.5,0,0.3333333333333333,1.0,10.0,0,12.0,10.0,False,True,False,False,3
4,0.5,0,0.3333333333333333,1.0,10.0,0,12.0,10.0,False,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,10.0,8.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,10.0,8.0,True,True,False,False,3
4,1.0,0.5,0.5,0,8.0,10.0,10.0,0,False,False,False,True,1
3,1.0,1.0,0,0,10.0,12.0,0,0,False,False,True,True,1
4,0.5,0,0.5,1.0,10.0,0,12.0,12.0,False,True,False,False,3
3,0,0,0.5,1.0,0,0,12.0,14.0,True,True,False,False,3
4,1.0,0,0.5,1.0,14.0,0,14.0,16.0,False,True,False,False,0
3,1.0,1.0,0,0,14.0,16.0,0,0,False,False,True,True,0
4,1.0,0.5,0,0.5,14.0,16.0,0,16.0,False,False,True,False,0
4,1.0,0.5,1.0,0,14.0,16.0,14.0,0,False,False,False,True,2
4,1.0,0,1.0,1.0,12.0,0,12.0,14.0,False,True,False,False,0
4,0,0.5,1.0,1.0,0,12.0,10.0,12.0,True,False,False,False,2
3,0,0.3333333333333333,0,1.0,0,12.0,0,12.0,True,False,True,False,1
4,1.0,0.5,0.5,0,12.0,14.0,12.0,0,False,False,False,True,0
4,0,0.5,0.3333333333333333,1.0,0,14.0,12.0,14.0,True,False,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,14.0,16.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,16.0,18.0,True,True,False,False,3
3,0,0.5,0.3333333333333333,0,0,20.0,18.0,0,True,False,False,True,1
3,0.3333333333333333,0.5,0,0,20.0,22.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,22.0,24.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,24.0,26.0,0,0,False,False,True,True,1
3,0.25,0,0.5,0,26.0,0,26.0,0,False,True,False,True,2
3,0,0,0.14285714285714285,0.25,0,0,24.0,26.0,True,True,False,False,2
4,0.3333333333333333,0,0.5,0.3333333333333333,12.0,0,14.0,12.0,False,True,False,False,2
3,0,0,0.5,0.3333333333333333,0,0,14.0,12.0,True,True,False,False,2
3,0,0,0.125,0.3333333333333333,0,0,16.0,14.0,True,True,False,False,2
4,0.16666666666666666,0,0.5,0.3333333333333333,20.0,0,22.0,20.0,False,True,False,False,0
4,0.3333333333333333,0,0.5,0.3333333333333333,10.0,0,12.0,12.0,False,True,False,False,2
3,0,0,0.5,0.3333333333333333,0,0,12.0,10.0,True,True,False,False,2
3,0,0,1.0,0.3333333333333333,0,0,12.0,10.0,True,True,False,False,2
3,1.0,0,0,0.25,10.0,0,0,10.0,False,True,True,False,0
3,1.0,0.3333333333333333,0,0,8.0,10.0,0,0,False,False,True,True,0
3,1.0,0.3333333333333333,0,0,8.0,10.0,0,0,False,False,True,True,0
3,0.5,0.3333333333333333,0,0,8.0,10.0,0,0,False,False,True,True,0
3,0,0.3333333333333333,0,1.0,0,8.0,0,6.0,True,False,True,False,3
3,0,0,0.25,1.0,0,0,6.0,8.0,True,True,False,False,3
3,0,0,0.3333333333333333,0,0,0,8.0,10.0,True,True,False,False,3
3,0,0,0.5,1.0,0,0,20,18,True,True,False,False,3
3,0,0,0.5,1.0,0,0,20.0,18.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,18.0,16.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,16.0,14.0,True,True,False,False,3
4,1.0,0,0.5,1.0,14.0,0,16.0,14.0,False,True,False,False,3
3,0,0,1.0,1.0,0,0,16.0,14.0,True,True,False,False,3
4,1.0,0,0.5,1.0,12.0,0,14.0,12.0,False,True,False,False,0
3,1.0,1.0,0,0,10.0,12.0,0,0,False,False,True,True,0
4,1.0,0.5,0,0.5,10.0,12.0,0,10.0,False,False,True,False,0
4,1.0,0.5,1.0,0,8.0,10.0,10.0,0,False,False,False,True,0
4,0,0.5,1.0,1.0,0,8.0,8.0,8.0,True,False,False,False,3
3,0,0,0.5,1.0,0,0,8.0,10.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,10.0,12.0,True,True,False,False,3
3,0,0.5,0.3333333333333333,0,0,12.0,10.0,0,True,False,False,True,1
3,0.3333333333333333,0.5,0,0,10.0,12.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,10.0,12.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,10.0,12.0,0,0,False,False,True,True,1
3,0.25,0,0.5,0,10.0,0,10.0,0,False,True,False,True,2
3,0,0,0.16666666666666666,0.25,0,0,12.0,12.0,True,True,False,False,2
4,1.0,0,0.5,0.3333333333333333,12.0,0,14.0,12.0,False,True,False,False,0
3,1.0,0.5,0,0,10.0,12.0,0,0,False,False,True,True,0
4,1.0,0.5,0.5,0,8.0,10.0,10.0,0,False,False,False,True,2
3,0,0,0.5,1.0,0,0,10.0,8.0,True,True,False,False,2
3,0,0,0.5,0.5,0,0,10.0,8.0,True,True,False,False,2
4,0.3333333333333333,0,0.5,0.25,10.0,0,12.0,10.0,False,True,False,False,2
4,0.3333333333333333,0,0.5,0.3333333333333333,10.0,0,12.0,10.0,False,True,False,False,2
3,0,0,0.5,0.3333333333333333,0,0,12.0,10.0,True,True,False,False,2
3,0,0,1.0,0.3333333333333333,0,0,12.0,10.0,True,True,False,False,2
4,1.0,0.5,0,0.3333333333333333,10.0,12.0,0,10.0,False,False,True,False,1
3,1.0,1.0,0,0,10.0,12.0,0,0,False,False,True,True,1
4,0.5,0,0.5,1.0,10.0,0,12.0,10.0,False,True,False,False,2
3,0,0,1.0,1.0,0,0,14.0,12.0,True,True,False,False,2
4,1.0,0,0.5,0.3333333333333333,12.0,0,14.0,12.0,False,True,False,False,0
3,1.0,0.5,0,0,10.0,12.0,0,0,False,False,True,True,0
4,1.0,0.5,0.5,0,8.0,10.0,10.0,0,False,False,False,True,0
4,1.0,0.5,0,1.0,8.0,10.0,0,8.0,False,False,True,False,3
4,1.0,0,1.0,1.0,8.0,0,10.0,8.0,False,True,False,False,0
4,0,1.0,0.5,1.0,0,10.0,10.0,8.0,True,False,False,False,3
3,0,0.3333333333333333,0.5,0,0,10.0,10.0,0,True,False,False,True,1
4,0,0.5,0.5,0.3333333333333333,0,12.0,12.0,10.0,True,False,False,False,2
4,0,0.5,0.5,0.3333333333333333,0,14.0,14.0,12.0,True,False,False,False,2
3,0,0,0.5,0.3333333333333333,0,0,14.0,12.0,True,True,False,False,2
3,0,0,1.0,0.3333333333333333,0,0,14.0,12.0,True,True,False,False,2
3,0,0.5,0,0.25,0,14.0,0,12.0,True,False,True,False,1
3,0.3333333333333333,0.5,0,0,12.0,14.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,14.0,16.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,14.0,16.0,0,0,False,False,True,True,1
3,0.25,0,0,1.0,14.0,0,0,14.0,False,True,True,False,3
3,0,0,0.25,0.16666666666666666,0,0,14.0,12.0,True,True,False,False,3
4,0.3333333333333333,0,0.3333333333333333,1.0,14.0,0,14.0,16.0,False,True,False,False,3
3,0,0,0.3333333333333333,0.09090909090909091,0,0,16.0,18.0,True,True,False,False,3
4,0.5,0.5,1.0,0,18.0,20.0,18.0,0,False,False,False,True,2
4,0.5,0,1.0,0.5,16.0,0,16.0,18.0,False,True,False,False,0
4,0,0.5,1.0,0.3333333333333333,0,18.0,16.0,18.0,True,False,False,False,2
3,0,0,0,0.5,0,18.0,0,18.0,True,False,True,False,1
3,0,0,0.5,1.0,0,0,20,18,True,True,False,False,3
3,0,0,0.5,1.0,0,0,18.0,16.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,18.0,16.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,18.0,16.0,True,True,False,False,3
4,1.0,0,0.5,1.0,14.0,0,16.0,14.0,False,True,False,False,3
3,0,0,1.0,1.0,0,0,14.0,12.0,True,True,False,False,3
4,1.0,0,0.5,1.0,10.0,0,12.0,10.0,False,True,False,False,0
3,1.0,1.0,0,0,10.0,12.0,0,0,False,False,True,True,0
4,1.0,0.5,0,0.5,10.0,12.0,0,10.0,False,False,True,False,0
4,1.0,0.5,1.0,0,8.0,10.0,10.0,0,False,False,False,True,0
4,0,0.5,1.0,1.0,0,8.0,8.0,8.0,True,False,False,False,3
3,0,0,0.5,1.0,0,0,8.0,10.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,10.0,12.0,True,True,False,False,3
3,0,0.5,0.3333333333333333,0,0,14.0,12.0,0,True,False,False,True,1
3,0.3333333333333333,0.5,0,0,12.0,14.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,14.0,16.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,16.0,18.0,0,0,False,False,True,True,1
3,0.25,0,0.5,0,16.0,0,16.0,0,False,True,False,True,2
3,0,0,0.16666666666666666,0.25,0,0,14.0,16.0,True,True,False,False,2
4,0.5,0.5,1.0,0,8.0,10.0,8.0,0,False,False,False,True,2
4,0.5,0,1.0,0.5,8.0,0,10.0,8.0,False,True,False,False,0
4,0,0.5,1.0,0.3333333333333333,0,10.0,10.0,8.0,True,False,False,False,2
3,0,1.0,0,0.5,0,10.0,0,8.0,True,False,True,False,1
4,0.5,1.0,0,0.3333333333333333,10.0,12.0,0,10.0,False,False,True,False,1
4,0.5,0.3333333333333333,0.5,0,12.0,14.0,14.0,0,False,False,False,True,2
3,0,0,0.5,1.0,0,0,16.0,14.0,True,True,False,False,2
3,0,0,0.5,0.3333333333333333,0,0,16.0,14.0,True,True,False,False,2
4,0.3333333333333333,0,0.5,0.25,14.0,0,16.0,14.0,False,True,False,False,2
4,0.3333333333333333,0,0.5,0.3333333333333333,14.0,0,16.0,14.0,False,True,False,False,2
3,0,0,0.5,0.3333333333333333,0,0,16.0,14.0,True,True,False,False,2
3,0,0,1.0,0.3333333333333333,0,0,18.0,16.0,True,True,False,False,2
4,1.0,0.5,0,0.3333333333333333,16.0,18.0,0,16.0,False,False,True,False,1
3,1.0,1.0,0,0,16.0,18.0,0,0,False,False,True,True,1
4,0.5,0,0.5,1.0,18.0,0,20.0,18.0,False,True,False,False,2
3,0,0,1.0,1.0,0,0,22.0,20.0,True,True,False,False,2
4,1.0,0,0.5,0.3333333333333333,22.0,0,24.0,22.0,False,True,False,False,0
3,1.0,0.5,0,0,22.0,24.0,0,0,False,False,True,True,0
4,1.0,0.5,0.5,0,22.0,24.0,24.0,0,False,False,False,True,0
4,1.0,0.5,0,1.0,20.0,22.0,0,20.0,False,False,True,False,0
4,0,0.5,0.5,1.0,0,20.0,20.0,18.0,True,False,False,False,2
3,0,0,0.5,1.0,0,0,20.0,18.0,True,True,False,False,2
3,0,0,1.0,0.3333333333333333,0,0,20.0,18.0,True,True,False,False,2
3,0,0.5,0,0.25,0,20.0,0,18.0,True,False,True,False,1
3,0.3333333333333333,0.5,0,0,18.0,20.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,18.0,20.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,18.0,20.0,0,0,False,False,True,True,1
3,0.25,0,0,1.0,20.0,0,0,20.0,False,True,True,False,3
3,0,0,0.25,0.16666666666666666,0,0,22.0,20.0,True,True,False,False,3
4,0.5,0,0.3333333333333333,1.0,20.0,0,22.0,20.0,False,True,False,False,3
3,0,0,0.3333333333333333,0.125,0,0,20.0,18.0,True,True,False,False,3
4,1.0,0.5,0,0.3333333333333333,18.0,20.0,0,18.0,False,False,True,False,0
4,0.5,0.5,1.0,0,18.0,20.0,20.0,0,False,False,False,True,2
4,1.0,0,0.5,1.0,20.0,0,22.0,20.0,False,True,False,False,0
4,0,0.5,0.3333333333333333,0.07692307692307693,0,20.0,20.0,18.0,True,False,False,False,3
4,0.5,0,0.3333333333333333,0,16.0,18.0,16.0,0,False,False,False,True,1
3,0,0,0.5,1.0,0,0,20,18,True,True,False,False,3
3,0,0,0.5,1.0,0,0,18.0,16.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,18.0,16.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,18.0,16.0,True,True,False,False,3
4,1.0,0,0.5,1.0,14.0,0,16.0,14.0,False,True,False,False,3
3,0,0,1.0,1.0,0,0,14.0,12.0,True,True,False,False,3
4,1.0,0,0.5,1.0,10.0,0,12.0,10.0,False,True,False,False,0
3,1.0,1.0,0,0,8.0,10.0,0,0,False,False,True,True,0
4,1.0,0.5,0,0.5,8.0,10.0,0,10.0,False,False,True,False,0
4,1.0,0.5,1.0,0,8.0,10.0,8.0,0,False,False,False,True,0
4,0,0.5,1.0,1.0,0,8.0,6.0,8.0,True,False,False,False,3
3,0,0,0.5,1.0,0,0,8.0,10.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,10.0,12.0,True,True,False,False,3
3,0,0.5,0.3333333333333333,0,0,14.0,12.0,0,True,False,False,True,1
3,0.3333333333333333,0.5,0,0,14.0,16.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,14.0,16.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,14.0,16.0,0,0,False,False,True,True,1
3,0.25,0,0.5,0,14.0,0,14.0,0,False,True,False,True,2
3,0,0,0.16666666666666666,0.25,0,0,12.0,14.0,True,True,False,False,2
4,1.0,0,0.5,0.3333333333333333,10.0,0,12.0,10.0,False,True,False,False,0
3,1.0,0.5,0,0,10.0,12.0,0,0,False,False,True,True,0
4,1.0,0.5,0.5,0,10.0,12.0,12.0,0,False,False,False,True,2
3,0,0,0.5,1.0,0,0,12.0,10.0,True,True,False,False,2
3,0,0,0.5,0.5,0,0,12.0,10.0,True,True,False,False,2
4,0.3333333333333333,0,0.5,0.25,10.0,0,12.0,10.0,False,True,False,False,2
4,0.3333333333333333,0,0.5,0.3333333333333333,10.0,0,12.0,10.0,False,True,False,False,2
3,0,0,0.5,0.3333333333333333,0,0,14.0,12.0,True,True,False,False,2
3,0,0,1.0,0.3333333333333333,0,0,14.0,12.0,True,True,False,False,2
4,1.0,0.5,0,0.3333333333333333,12.0,14.0,0,12.0,False,False,True,False,1
3,1.0,1.0,0,0,12.0,14.0,0,0,False,False,True,True,1
4,0.5,0,0.5,1.0,12.0,0,14.0,12.0,False,True,False,False,2
3,0,0,1.0,1.0,0,0,16.0,14.0,True,True,False,False,2
4,1.0,0,0.5,0.3333333333333333,16.0,0,18.0,16.0,False,True,False,False,0
3,1.0,0.5,0,0,14.0,16.0,0,0,False,False,True,True,0
4,1.0,0.5,0.5,0,12.0,14.0,14.0,0,False,False,False,True,0
4,1.0,0.5,0,1.0,10.0,12.0,0,10.0,False,False,True,False,3
4,1.0,0,1.0,1.0,8.0,0,10.0,8.0,False,True,False,False,0
4,0,1.0,0.5,1.0,0,8.0,8.0,8.0,True,False,False,False,3
3,0,0.3333333333333333,0.5,0,0,8.0,6.0,0,True,False,False,True,1
4,0,0.5,0.5,0.3333333333333333,0,8.0,8.0,8.0,True,False,False,False,2
4,0,0.5,0.5,0.3333333333333333,0,8.0,8.0,6.0,True,False,False,False,2
3,0,0,0.5,0.3333333333333333,0,0,8.0,6.0,True,True,False,False,2
3,0,0,1.0,0.3333333333333333,0,0,10.0,8.0,True,True,False,False,2
3,0,0.5,0,0.25,0,10.0,0,8.0,True,False,True,False,1
3,0.3333333333333333,0.5,0,0,8.0,10.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,8.0,10.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,10.0,12.0,0,0,False,False,True,True,1
3,0.25,0,0,1.0,12.0,0,0,12.0,False,True,True,False,3
3,0,0,0.25,0.16666666666666666,0,0,12.0,10.0,True,True,False,False,3
4,0.3333333333333333,0,0.3333333333333333,1.0,14.0,0,14.0,16.0,False,True,False,False,3
3,0,0,0.3333333333333333,0.09090909090909091,0,0,14.0,16.0,True,True,False,False,3
4,1.0,0.5,0.5,0,18.0,20.0,18.0,0,False,False,False,True,0
4,0.5,0.5,0,1.0,18.0,20.0,0,20.0,False,False,True,False,0
3,0,0.5,0,1.0,0,20.0,0,20.0,True,False,True,False,3
4,0,0,0.3333333333333333,0.5,0,20.0,18.0,20.0,True,False,False,False,1
3,0,0,0.5,1.0,0,0,20,18,True,True,False,False,3
3,0,0,0.5,1.0,0,0,20.0,18.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,18.0,16.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,16.0,14.0,True,True,False,False,3
4,1.0,0,0.5,1.0,14.0,0,16.0,14.0,False,True,False,False,3
3,0,0,1.0,1.0,0,0,16.0,14.0,True,True,False,False,3
4,1.0,0,0.5,1.0,12.0,0,14.0,12.0,False,True,False,False,0
3,1.0,1.0,0,0,10.0,12.0,0,0,False,False,True,True,0
4,1.0,0.5,0,0.5,10.0,12.0,0,10.0,False,False,True,False,0
4,1.0,0.5,1.0,0,8.0,10.0,10.0,0,False,False,False,True,0
4,0,0.5,1.0,1.0,0,8.0,8.0,8.0,True,False,False,False,3
3,0,0,0.5,1.0,0,0,6.0,8.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,8.0,10.0,True,True,False,False,3
3,0,0.5,0.3333333333333333,0,0,12.0,10.0,0,True,False,False,True,1
3,0.3333333333333333,0.5,0,0,12.0,14.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,14.0,16.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,16.0,18.0,0,0,False,False,True,True,1
3,0.25,0,0.5,0,16.0,0,16.0,0,False,True,False,True,2
3,0,0,0.16666666666666666,0.25,0,0,14.0,16.0,True,True,False,False,2
4,0,0.5,1.0,0.25,0,14.0,12.0,14.0,True,False,False,False,2
4,0,0.5,1.0,0.5,0,14.0,12.0,14.0,True,False,False,False,2
3,0,1.0,0,1.0,0,14.0,0,14.0,True,False,True,False,1
4,0.5,1.0,0,0.3333333333333333,14.0,16.0,0,16.0,False,False,True,False,1
4,0.5,0.3333333333333333,0.5,0,14.0,16.0,14.0,0,False,False,False,True,2
3,0,0,0.5,1.0,0,0,14.0,16.0,True,True,False,False,2
3,0,0,0.5,0.3333333333333333,0,0,14.0,16.0,True,True,False,False,2
4,0.3333333333333333,0,0.5,0.25,12.0,0,12.0,14.0,False,True,False,False,2
4,0.3333333333333333,0,0.5,0.3333333333333333,10.0,0,10.0,12.0,False,True,False,False,2
3,0,0,0.5,0.3333333333333333,0,0,10.0,12.0,True,True,False,False,2
3,0,0,1.0,0.3333333333333333,0,0,10.0,12.0,True,True,False,False,2
4,1.0,0.5,0,0.3333333333333333,10.0,12.0,0,12.0,False,False,True,False,1
3,1.0,1.0,0,0,12.0,14.0,0,0,False,False,True,True,1
4,0.5,0,0.5,1.0,14.0,0,14.0,16.0,False,True,False,False,2
3,0,0,1.0,1.0,0,0,12.0,14.0,True,True,False,False,2
4,1.0,0,0.5,0.3333333333333333,10.0,0,10.0,12.0,False,True,False,False,0
3,1.0,0.5,0,0,10.0,12.0,0,0,False,False,True,True,0
4,1.0,0.5,0.5,0,8.0,10.0,10.0,0,False,False,False,True,0
4,1.0,0.5,0,1.0,8.0,10.0,0,8.0,False,False,True,False,0
4,0,0.5,0.5,1.0,0,8.0,8.0,6.0,True,False,False,False,2
3,0,0,0.5,1.0,0,0,10.0,8.0,True,True,False,False,2
3,0,0,1.0,0.3333333333333333,0,0,12.0,10.0,True,True,False,False,2
3,0,0.5,0,0.25,0,12.0,0,10.0,True,False,True,False,1
3,0.3333333333333333,0.5,0,0,10.0,12.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,10.0,12.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,10.0,12.0,0,0,False,False,True,True,1
3,0.25,0,0,1.0,10.0,0,0,10.0,False,True,True,False,3
3,0,0,0.25,0.16666666666666666,0,0,10.0,12.0,True,True,False,False,3
4,0.5,0,0.3333333333333333,1.0,10.0,0,10.0,12.0,False,True,False,False,3
3,0,0,0.3333333333333333,0.125,0,0,12.0,14.0,True,True,False,False,3
4,0.25,0,0.5,0.3333333333333333,14.0,0,14.0,16.0,False,True,False,False,0
4,0.3333333333333333,0.5,0,0.07692307692307693,8.0,10.0,0,10.0,False,False,True,False,3
4,1.0,0.5,0,0.3333333333333333,16.0,18.0,0,16.0,False,False,True,False,0
4,0.5,0.5,1.0,0,14.0,16.0,16.0,0,False,False,False,True,0
3,0,0.5,1.0,0,0,14.0,14.0,0,True,False,False,True,2
4,0,0,0.5,0.3333333333333333,0,14.0,14.0,12.0,True,False,False,False,1
3,0,0,0.5,1.0,0,0,20,18,True,True,False,False,3
3,0,0,0.5,1.0,0,0,18.0,16.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,16.0,14.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,16.0,14.0,True,True,False,False,3
4,1.0,0,0.5,1.0,14.0,0,16.0,14.0,False,True,False,False,3
3,0,0,1.0,1.0,0,0,14.0,12.0,True,True,False,False,3
4,1.0,0,0.5,1.0,10.0,0,12.0,10.0,False,True,False,False,0
3,1.0,1.0,0,0,8.0,10.0,0,0,False,False,True,True,0
4,1.0,0.5,0,0.5,8.0,10.0,0,10.0,False,False,True,False,0
4,1.0,0.5,1.0,0,8.0,10.0,10.0,0,False,False,False,True,2
4,1.0,0,1.0,1.0,8.0,0,10.0,8.0,False,True,False,False,2
4,0.5,1.0,0,1.0,8.0,10.0,0,8.0,False,False,True,False,0
3,0,1.0,0,1.0,0,8.0,0,6.0,True,False,True,False,3
4,0,0.5,0.5,1.0,0,8.0,8.0,8.0,True,False,False,False,3
4,0,0.5,0.3333333333333333,1.0,0,10.0,8.0,10.0,True,False,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,8.0,10.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,10.0,12.0,True,True,False,False,3
3,0,0.5,0.3333333333333333,0,0,14.0,12.0,0,True,False,False,True,1
3,0.3333333333333333,0.5,0,0,14.0,16.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,16.0,18.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,18.0,20.0,0,0,False,False,True,True,1
3,0.25,0,0.5,0,20.0,0,20.0,0,False,True,False,True,2
3,0,0,0.16666666666666666,0.25,0,0,20.0,22.0,True,True,False,False,2
4,1.0,0,0.5,0.3333333333333333,16.0,0,16.0,18.0,False,True,False,False,0
3,0.5,0.5,0,0,14.0,16.0,0,0,False,False,True,True,0
4,0.3333333333333333,0.3333333333333333,0.5,0,12.0,14.0,12.0,0,False,False,False,True,2
3,0,0,0.5,0.3333333333333333,0,0,10.0,12.0,True,True,False,False,2
3,0,0,0.5,0.3333333333333333,0,0,10.0,10.0,True,True,False,False,2
4,0.3333333333333333,0,0.5,0.25,10.0,0,12.0,10.0,False,True,False,False,2
4,0.3333333333333333,0,0.5,0.3333333333333333,12.0,0,14.0,12.0,False,True,False,False,2
3,0,0,0.5,0.3333333333333333,0,0,14.0,12.0,True,True,False,False,2
3,0,0,1.0,0.3333333333333333,0,0,14.0,12.0,True,True,False,False,2
4,1.0,0.5,0,0.3333333333333333,12.0,14.0,0,12.0,False,False,True,False,1
3,1.0,1.0,0,0,12.0,14.0,0,0,False,False,True,True,1
4,0.5,0,0.5,1.0,14.0,0,16.0,14.0,False,True,False,False,2
3,0,0,1.0,1.0,0,0,18.0,16.0,True,True,False,False,2
4,1.0,0,0.5,0.3333333333333333,16.0,0,18.0,16.0,False,True,False,False,0
3,1.0,0.5,0,0,16.0,18.0,0,0,False,False,True,True,0
4,1.0,0.5,0.5,0,16.0,18.0,18.0,0,False,False,False,True,0
4,1.0,0.5,0,1.0,14.0,16.0,0,14.0,False,False,True,False,0
4,0,0.5,0.5,1.0,0,14.0,14.0,12.0,True,False,False,False,2
3,0,0,0.5,1.0,0,0,14.0,12.0,True,True,False,False,2
3,0,0,1.0,0.3333333333333333,0,0,16.0,14.0,True,True,False,False,2
3,0,0.5,0,0.25,0,16.0,0,14.0,True,False,True,False,1
3,0.3333333333333333,0.5,0,0,14.0,16.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,14.0,16.0,0,0,False,False,True,True,1
3,0.25,0.5,0,0,16.0,18.0,0,0,False,False,True,True,1
3,0.25,0,0,1.0,18.0,0,0,18.0,False,True,True,False,3
3,0,0,0.25,0.16666666666666666,0,0,18.0,16.0,True,True,False,False,3
4,0,0.5,0.3333333333333333,1.0,0,10.0,10.0,8.0,True,False,False,False,3
4,0,1.0,0.5,1.0,0,10.0,10.0,8.0,True,False,False,False,1
4,1.0,0,0.3333333333333333,1.0,10.0,0,12.0,10.0,False,True,False,False,3
4,0.16666666666666666,0.5,0.5,0,8.0,10.0,10.0,0,False,False,False,True,0
4,0.3333333333333333,0,0.3333333333333333,1.0,10.0,0,10.0,12.0,False,True,False,False,3
3,0,0,0.3333333333333333,0,0,0,12.0,14.0,True,True,False,False,3
3,0,0,0.5,1.0,0,0,20,18,True,True,False,False,3
3,0,0,0.5,1.0,0,0,20.0,18.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,18.0,16.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,16.0,14.0,True,True,False,False,3
4,1.0,0,0.5,1.0,14.0,0,16.0,14.0,False,True,False,False,3
3,0,0,1.0,1.0,0,0,16.0,14.0,True,True,False,False,3
4,1.0,0,0.5,1.0,12.0,0,14.0,12.0,False,True,False,False,0
3,1.0,1.0,0,0,10.0,12.0,0,0,False,False,True,True,0
4,1.0,0.5,0,0.5,8.0,10.0,0,8.0,False,False,True,False,0
4,1.0,0.5,1.0,0,8.0,10.0,10.0,0,False,False,False,True,2
4,1.0,0,1.0,1.0,10.0,0,12.0,10.0,False,True,False,False,2
4,0.5,1.0,0,1.0,10.0,12.0,0,10.0,False,False,True,False,0
3,0,1.0,0,1.0,0,10.0,0,8.0,True,False,True,False,3
4,0,0.5,0.5,1.0,0,10.0,10.0,8.0,True,False,False,False,3
4,0,0.5,0.3333333333333333,1.0,0,10.0,10.0,8.0,True,False,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,8.0,6.0,True,True,False,False,3
3,0,0,0.3333333333333333,1.0,0,0,8.0,6.0,True,True,False,False,3
3,0,0.5,0.3333333333333333,0,0,8.0,8.0,0,True,False,False,True,1
3,0.3333333333333333,0.5,0,0,8.0,10.0,0,0,False,False,True,True,1
